book_name,grouping,chapter,verse,mode
Sirakh,deutero,47,29,strict
Sirakh,deutero,47,30,strict
Sirakh,deutero,47,31,strict
Sirakh,deutero,47,32,strict
Sirakh,deutero,47,33,strict
Sirakh,deutero,47,34,strict
Sirakh,deutero,47,35,strict
Sirakh,deutero,47,36,strict
Sirakh,deutero,47,37,strict
Sirakh,deutero,47,38,strict
Sirakh,deutero,47,39,strict
Sirakh,deutero,47,40,strict
Sirakh,deutero,47,41,strict
Sirakh,deutero,47,42,strict
Sirakh,deutero,47,43,strict
Sirakh,deutero,47,44,strict
Sirakh,deutero,47,45,strict
Sirakh,deutero,49,17,strict
Sirakh,deutero,49,18,strict
Sirakh,deutero,49,19,strict
Sirakh,deutero,49,20,strict
Sirakh,deutero,49,21,strict
Sirakh,deutero,49,22,strict
Sirakh,deutero,49,23,strict
Sirakh,deutero,49,24,strict
Sirakh,deutero,49,25,strict
Sirakh,deutero,49,26,strict
Sirakh,deutero,49,27,strict
Sirakh,deutero,49,28,strict
Sirakh,deutero,49,29,strict
Sirakh,deutero,49,30,strict
Sirakh,deutero,49,31,strict
Sirakh,deutero,49,32,strict
Sirakh,deutero,49,33,strict
Sirakh,deutero,49,34,strict
Sirakh,deutero,49,35,strict
Sirakh,deutero,49,36,strict
Sirakh,deutero,49,37,strict
Sirakh,deutero,49,38,strict
Sirakh,deutero,49,39,strict
Sirakh,deutero,49,40,strict
Sirakh,deutero,49,41,strict
Sirakh,deutero,49,42,strict
Sirakh,deutero,49,43,strict
Sirakh,deutero,49,44,strict
Sirakh,deutero,49,45,strict
Sirakh,deutero,49,46,strict
Sirakh,deutero,49,47,strict
Sirakh,deutero,50,30,strict
Sirakh,deutero,50,31,strict
Sirakh,deutero,50,32,strict
Sirakh,deutero,50,33,strict
Sirakh,deutero,50,34,strict
Sirakh,deutero,50,35,strict
Sirakh,deutero,50,36,strict
Sirakh,deutero,50,37,strict
Sirakh,deutero,50,38,strict
Sirakh,deutero,50,39,strict
Sirakh,deutero,50,40,strict
Sirakh,deutero,50,41,strict
Sirakh,deutero,50,42,strict
Sirakh,deutero,50,43,strict
Sirakh,deutero,50,44,strict
Sirakh,deutero,50,45,strict
Sirakh,deutero,50,46,strict
Sirakh,deutero,50,47,strict
Sirakh,deutero,50,48,strict
Barukh,deutero,1,15,strict
Tambahan Daniel,deutero,3,1,strict
Tambahan Daniel,deutero,3,2,strict
Tambahan Daniel,deutero,3,3,strict
Tambahan Daniel,deutero,3,4,strict
Tambahan Daniel,deutero,3,5,strict
Tambahan Daniel,deutero,3,6,strict
Tambahan Daniel,deutero,3,7,strict
Tambahan Daniel,deutero,3,8,strict
Tambahan Daniel,deutero,3,9,strict
Tambahan Daniel,deutero,3,10,strict
Tambahan Daniel,deutero,3,11,strict
Tambahan Daniel,deutero,3,12,strict
Tambahan Daniel,deutero,3,13,strict
Tambahan Daniel,deutero,3,14,strict
Tambahan Daniel,deutero,3,15,strict
Tambahan Daniel,deutero,3,16,strict
Tambahan Daniel,deutero,3,17,strict
Tambahan Daniel,deutero,3,18,strict
Tambahan Daniel,deutero,3,19,strict
Tambahan Daniel,deutero,3,20,strict
Tambahan Daniel,deutero,3,21,strict
Tambahan Daniel,deutero,3,22,strict
Tambahan Daniel,deutero,3,23,strict
Tambahan Daniel,deutero,13,19,strict
Tambahan Daniel,deutero,13,20,strict
Tambahan Daniel,deutero,13,21,strict
Tambahan Daniel,deutero,13,22,strict
Tambahan Daniel,deutero,13,23,strict
Tambahan Daniel,deutero,13,24,strict
Matius,new,1,2,strict
Matius,new,1,3,strict
Matius,new,1,4,strict
Matius,new,1,5,strict
Matius,new,1,6,strict
Matius,new,1,7,strict
Matius,new,1,8,strict
Matius,new,1,9,strict
Matius,new,1,10,strict
Matius,new,1,11,strict
Matius,new,1,12,strict
Matius,new,1,13,strict
Matius,new,1,14,strict
Matius,new,1,15,strict
Matius,new,1,16,strict
Matius,new,1,17,strict
Matius,new,5,2,strict
